iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	432.0588	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_draft	211.393	KEEP	mixed	Discovery seed: selected tm128 wn128 s4 over persistent 1p1c after direct benchm
iter002	iter002_wn64_s3_2cta	109.267	DISCARD	memory_bound	Reduced WARP_N to 64 and STAGES to 3 to try for 2 CTAs/SM; occupancy target impr
iter003	iter003_mmajor	267.028	KEEP	memory_bound	Switched iter001 tile traversal from N-major to M-major so each lhs row tile is 
iter004	iter004_mmajor_s3	248.477	DISCARD	compute_bound	Reduced MATMUL_STAGES from 4 to 3 on the M-major base to lower barrier density, 
iter005	iter005_mmajor_hoist	267.539	KEEP	compute_bound	Enabled Choreo hoist-offset and hoist-scale on the M-major base so generated cod
iter006	iter006_mmajor_hoist_ptxbar	272.651	KEEP	compute_bound	Added Choreo ptx-barrier on top of the M-major hoist base so synchronization use
iter007	iter007_wn152	0.0	COMPILE_FAIL	compute_bound	Raised MATMUL_WARP_N to 152 on the iter006 base, but the extended-shape kernel f
iter008	iter008_split_epilogue	271.18	DISCARD	compute_bound	Phase-2 split epilogue: split each consumer 64x128 shared epilogue store into tw
iter009	iter009_arrive_once	278.041	KEEP	compute_bound	Phase-2 arrive_once: hoisted warpgroup_arrive out of the 4-step WGMMA micro-loop
iter010	iter010_wait1	309.428	KEEP	compute_bound	Phase-2 wait1: changed the in-loop warpgroup wait from wait<0> to wait<1> and dr
iter011	iter011_split_epilogue	306.52	DISCARD	compute_bound	Phase-2 split epilogue on top of the arrive_once plus wait1 base: split each con
iter012	iter012_wait2	302.0	DISCARD	compute_bound	Changed warpgroup_wait from <1> to <2> allowing 2 WGMMA batches in-flight; regre
iter013	iter013_stages5	309.2	DISCARD	compute_bound	Increased pipeline stages from 4 to 5 with arrive_once and wait<1>; matched but 
iter014	iter014_ws1p3c	0.0	SEGFAULT	compute_bound	1p3c warp specialization with TILE_M=192 and STAGES=3; verification failed due t
iter015	iter015_wn192	302.0	DISCARD	compute_bound	WARP_N=192 with STAGES=3 for wider MMA tiles; regressed to 302 TFLOPS due to sha
iter016	iter016_tm64_1p1c	194.544	DISCARD	compute_bound	Reduce TILE_M to 64 with 1p1c warp specialization for higher occupancy; hypothes
iter017	iter017_smem_pad	0	SEGFAULT	compute_bound	Add 4-element row padding to output shared memory to reduce bank conflicts; SEGF
iter018	iter018_wn64	198.075	DISCARD	compute_bound	Reduce WARP_N from 128 to 64 to halve output tile for higher occupancy; regressi
iter019	iter019_wn256	0	SEGFAULT	compute_bound	Increase WARP_N to 256 with STAGES=2; assertion failure likely due to insufficie
iter020	iter020_launch_bounds	304.287	DISCARD	compute_bound	Add __launch_bounds__(384, 1) to constrain registers; minBlocks=2 caused registe
iter021	iter021_nmajor	219.446	DISCARD	compute_bound	N-major tile ordering; regression to 219 TFLOPS because larger M dimension shoul
iter022	iter022_wn256_st3	0	COMPILE_FAIL	compute_bound	WARP_N=256 with STAGES=3 exceeds shared memory limit (278KB > 233KB)
iter023	iter023_stages3	284.172	DISCARD	compute_bound	STAGES=3 to reduce SMEM; regression to 284 TFLOPS - shallower pipeline hurts mor
iter024	iter024_fastmath	302.073	DISCARD	compute_bound	nvcc --use_fast_math; no improvement since WGMMA is already optimized
iter025	iter025_maxreg128	311.962	KEEP	compute_bound	nvcc -maxrregcount=128 to limit registers and enable higher occupancy
iter026	iter026_maxreg112	299.22	DISCARD	compute_bound	maxrregcount=112 too aggressive; register spilling hurts more than occupancy gai
iter027	iter027_maxreg144	293.067	DISCARD	compute_bound	maxrregcount=144 is worse than 128; 128 is close to optimal
iter028	iter028_reg128_st3	294.365	DISCARD	compute_bound	STAGES=3 + maxreg=128 combo worse than STAGES=4 + maxreg=128; 4 stages is optima
iter029	iter029_cacheall	311.7	DISCARD	compute_bound	-dlcm=ca cache flag; no significant improvement over noise
iter030	iter030_ptxas_o3	309.254	DISCARD	compute_bound	-Xptxas -O3 flag; no improvement
iter031	iter031_tm192	333.4	KEEP	compute_bound	TILE_M=192 (larger tiles), more compute per thread block
iter032	iter032_tm256	0	COMPILE_FAIL	compute_bound	TILE_M=256; SMEM overflow 262KB > 233KB limit
iter033	iter033_tm192_st3	326.025	DISCARD	compute_bound	TILE_M=192 STAGES=3; worse than STAGES=4
iter034	iter034_wn192	0	COMPILE_FAIL	compute_bound	WARP_N=192; SMEM overflow 295KB > 233KB
iter035	iter035_wn64	270.748	DISCARD	compute_bound	WARP_N=64 too narrow; significant regression
iter036	iter036_st5	0	COMPILE_FAIL	compute_bound	STAGES=5; SMEM overflow 270KB > 233KB
