iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	fused_moe_baseline	7.11119	KEEP	baseline	Validated serving-aligned Qwen3.5 FP8 end-to-end baseline; verification passed
iter001	iter001_denseprefixscatter	7.23607	KEEP	grouped_wgmma_fp8	Dense active-prefix scatter: iterate only M*topk routed rows and remove full MAX_SORTED_ROUTES memset; KEEP 0.301987ms -> 0.296775ms
iter002	iter002_hoist	0.179763	DISCARD	memory_bound_80pct_dram_40pct_uncoalesced	(DISCARD) --hoist-offset --hoist-scale flags cause 40x regression - incompatible with dynamic segment addressing
iter003	iter003_scales	0.183954	DISCARD	memory_bound_80pct_dram_uncoalesced_scale_reads	(DISCARD) Preload scale_a to shared: dynamic shape DMA fell back to low-perf opt_copy API causing 40x regression
iter004	iter004_static	8.39073	DISCARD	memory_bound_80pct_dram_uncoalesced_scale_reads	(DISCARD) Static-shape sScaleA preload: compiles OK but neutral perf (bank conflicts offset coalescing benefit)
iter004b	iter004b_maxreg=128 on iter001	7.85404	DISCARD	register_pressure_163regs_18pct_occupancy	(DISCARD) maxreg=128 to boost occupancy 18.75%→25%: register spills hurt more than occupancy helps
iter005	iter005_warpspec	6.35166	DISCARD	l1tex_scoreboard_stalls_65pct	(DISCARD) Warp-spec 1p1c: 2 warp groups + DMA/TMA pipeline. 28% regression - producer overhead too high for small K-loop (16 iters), halved compute capacity not compensated by pipelining
iter006	iter006_bf16n	8.77	DISCARD	memory_bound_80pct_dram	(DISCARD) -bf16n compiler flag for bf16 narrow output stores: neutral perf, within noise of baseline 8.83
iter006b	iter006b_lhs	8.77	DISCARD	memory_bound_80pct_dram	(DISCARD) Convert LHS load from DMA to TMA (required compiler bug fix in GenIndices for view().from() coords): neutral perf 8.77 vs baseline 8.83, TMA descriptor overhead offsets HW copy gains
iter007	iter007_fusion	8.93	KEEP	kernel_launch_overhead_separate_scatter	(KEEP) Fuse scatter epilogue into WGMMA kernel: shared-mem staging + atomicAdd scatter replaces separate kernel launch. Serving 8.93 vs 8.84 (+1.0%), E2E 8.44 vs 8.34 (+1.2%). Also fixed earlysema.cpp null deref bug in compiler.
iter007b	iter007b_fusion	7.86	DISCARD	memory_bound_76pct_dram	(DISCARD) f32 shared output_s instead of bf16: eliminates bf16 precision roundtrip but 2x shared memory caused -12% regression from worse store patterns
iter008	iter008_sum	9.2	KEEP	serial_gpu_prefix_sum_26us	(KEEP) Replace serial GPU prefix sum (build_layout, 26.6us) with CPU memcpy+compute: ~8us savings. Serving 9.20 vs 8.93 (+3.0%), E2E 8.66 vs 8.44 (+2.6%)
iter009	iter009_sort	9.56	KEEP	separate_quant_sort_kernels_48us	(KEEP) Fuse quantize_input (22.5us) + sort_and_gather (26us) into single kernel: shared-mem staging eliminates intermediate global buffers and one kernel launch. Serving 9.56 vs 9.20 (+3.9%), E2E 9.00 vs 8.66 (+3.9%)
iter010	iter010_count	9.53	KEEP	separate_route_count_kernels_18us	(KEEP) Fuse route + count_experts into single kernel: atomicAdd expert_counts during routing eliminates separate count kernel (4.4us). Serving 9.53 flat, E2E 9.27 vs 9.00 (+3.0%)
