iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	418.4252	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_draft	202.345	KEEP	latency_bound	1p2c warp-spec baseline: TM=128 WARP_N=128 stages=3 — starting point
iter002	iter002_tm64_wn128_1p1c	227.796	KEEP	compute_bound	Reduce TILE_M 128->64, switch 1p2c->1p1c: 512 CTAs vs 256, halves SMEM from 163K
iter003	iter003_persis_1p1c_nm114	201.0	DISCARD	compute_bound	Persistent 114 CTA STAGES=4 WARP_N=128: SMEM=128KB fills carveout, only 1 CTA/SM
iter004	iter004_persis_1p1c_wn96_s3	148.3	DISCARD	compute_bound	Persistent WARP_N=96 STAGES=3: 2048 not divisible by 96 (22 tiles, last partial)
iter005	iter005_persis_1p1c_wn128_s2	139.3	DISCARD	compute_bound	Persistent STAGES=2 WARP_N=128: SMEM=80KB, but 2-stage pipeline insufficient to 
iter006	iter006_pingpong_wn128	189.225	DISCARD	compute_bound	1p2c ping-pong TILE_N=256: 2 consumers split N-dim, 256 CTAs. SMEM=188KB too lar
iter007	iter007_unroll_warp_lb	179.5	DISCARD	compute_bound	Phase 2 cu fine-tune: unroll 4 + launch_bounds(256,1). Regression -48T. launch_b
iter008	iter008_tilek128_s4	0	SEGFAULT	compute_bound	TILE_K=128 STAGES=3: CUDA failure invalid argument at runtime. TMA box shape 128
iter009	iter009_wn256_tm64	211.29	DISCARD	compute_bound	WARP_N=256: 211T vs 228T. CTA count dropped to 256 (2.2 waves), wave quantizatio
iter010	iter010_stages2_wn128	199.268	DISCARD	compute_bound	STAGES=2: 199T vs 228T. 2 stages insufficient to hide K=16384 memory latency, sa
iter011	iter011_stages4_wn128	173.65	DISCARD	compute_bound	STAGES=4: 174T vs 228T. SMEM increased to 131KB, occupancy dropped, pipeline ove
iter012	iter012_tm128_1p2c	179.92	DISCARD	compute_bound	1p2c warp-spec TILE_M=128 STAGES=2: 180T vs 228T. 2 stages insufficient for K=16
iter013	iter013_warpk32_swiz64	0	SEGFAULT	compute_bound	TILE_K=128 STAGES=2: CUDA invalid argument error. TMA cannot handle 128-wide K b
iter014	iter014_swiz32_stg3	97.99	DISCARD	compute_bound	SWIZ=32 TILE_K=16: 98T vs 228T. K-loop iterations 4x larger (1024 vs 256), TMA t
iter015	iter015_regctrl	232.71	KEEP	compute_bound	maxrregcount=128 via EXTRA_TARGET_CFLAGS: 233T vs 228T (+2.2%). Register limitin
iter016	iter016_reg96	232.69	DISCARD	compute_bound	maxrregcount=96: 232.7T vs 232.7T (iter015). No improvement from tighter registe
iter017	iter017_reg128_wn64	167.57	DISCARD	compute_bound	WARP_N=64 + maxrregcount=128: 168T vs 233T. Smaller tile per CTA hurts - less wo
iter018	iter018_launch_bounds	232.98	DISCARD	compute_bound	launch_bounds failed to apply (cp error), ran with maxrregcount=128 only: 233.0T
iter019	iter019_wn192_reg128	184.37	DISCARD	compute_bound	WARP_N=192 + maxrregcount=128: 184T vs 233T. Larger SMEM (147KB) reduces occupan
iter020	iter020_stg2_reg128	206.81	DISCARD	compute_bound	STAGES=2 + maxrregcount=128: 207T vs 233T. Better than iter010 (199T) but still 
iter021	iter021_tm128_1p1c_reg128	0	COMPILE_FAIL	compute_bound	TILE_M=128 1p1c: WGMMA only supports m64. Would need 2 mma accumulators with sep
iter022	iter022_fastmath_reg128	232.52	DISCARD	compute_bound	use_fast_math + maxrregcount=128: 232.5T vs 232.7T. No improvement - fast_math h
iter023	iter023_reg160	178.72	DISCARD	compute_bound	maxrregcount=160: 179T vs 233T. 160 regs forces spilling and reduces occupancy. 
iter024	iter024_tm192_1p2c	0	HANG	compute_bound	STRUCTURAL: TILE_M=128 with 1p2c warp-spec. HANG due to synchronization deadlock
iter025	iter025_wn256_1p1c	211.295	DISCARD	compute_bound	STRUCTURAL: WARP_N=256 with 1p1c and maxrregcount=160. 211T vs 233T - larger N-t
iter026	iter026_stg4_swiz64	180.056	DISCARD	compute_bound	STRUCTURAL: 4 stages with TILE_K=32 SWIZ=64. 180T vs 233T - smaller K-tile doubl
iter027	iter027_launch_bounds_opt	169.333	DISCARD	compute_bound	Phase 2: launch_bounds(256, 2). 169T vs 233T - minBlocks=2 but SMEM 106KB does n
iter028	iter028_ptxas_opts	169.741	DISCARD	compute_bound	Phase 2: fast_math+ftz+dlcm=ca. 170T vs 233T - dlcm=ca may conflict with TMA asy
iter029	iter029_wn192_1p1c	145.923	DISCARD	compute_bound	STRUCTURAL: WARP_N=192. 146T vs 233T - N=2048 not divisible by 192 causes partia
iter030	iter030_acc5_tm320	7.87	DISCARD	compute_bound	4-acc TILE_M=256 2-stage: WGMMA serialization due to 128+ regs per accumulator
iter032	iter032_tm128_1p2c	206.18	DISCARD	compute_bound	1p2c TILE_M=128: Each consumer handles 64 rows. Works but 3 warp-groups increase
iter033	iter033_stg2_occ	155.38	DISCARD	occupancy_limited	2 stages to reduce SMEM 106KB->82KB: Insufficient pipeline depth for K=16384. TM
iter034	iter034_cublas_struct	191.96	DISCARD	compute_bound	cuBLAS structure: 384 threads 1p2c, TILE_M=256, 2 stages, 168 regs. Works but 2 
iter031	iter031_acc2_tm128	28.2593	DISCARD	compute_bound	Re-run: ACC=2 TILE_M=128; poor performance
iter035	iter035_opt_wgmma	263.257	DISCARD	compute_bound	Re-run: Optimized WGMMA variant
