iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	456.9654	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_warpspec_1p1c	398.73	KEEP	memory_bound	Initial e4m3 GEMM kernel with warp-specialized 1p1c pipeline, 64x128 tile, 4 sta
iter002	iter002_wn256	274.14	DISCARD	memory_bound	Increase WARP_N from 128 to 256 to improve compute density - FAILED: increased S
iter003	iter003_wspec1p2c_s3	576.06	KEEP	memory_bound	1p2c warp specialization: 3 warpgroups (1 producer + 2 consumers), TILE_M=128, 3
iter004	iter004_wspec1p3c_s4	674.08	KEEP	memory_bound	1p3c warp spec: 4 warpgroups (1 producer + 3 consumers), TILE_M=192, 4 stages - 
iter005	iter005_wn64_1p3c_s4	154.90	DISCARD	compute_bound	WARP_N=64 too small - increased overhead from smaller tiles, slower than WARP_N=
iter006	iter006_wn192_1p3c_s3	0.0	HANG	compute_bound	WARP_N=192 with 3 stages - kernel hangs, likely SMEM issue or synchronization bu
iter007	iter007_persis_sta_1p3c	458.42	DISCARD	compute_bound	Persistent kernel with static tile assignment - overhead exceeds benefit for 819
iter011	iter011_wn96_1p3c_s4	0	DISCARD	hang	WARP_N=96 caused kernel hang
iter012	iter012_nocommit_1p3c	689.20	KEEP	compute_bound	Remove explicit mma.commit - let compiler optimize
iter014	iter014_s3_nocommit	665.91	DISCARD	compute_bound	3 stages worse than 4 stages
iter016	iter016_ws1p2c_nocommit	610.88	DISCARD	compute_bound	1p2c worse than 1p3c, fewer consumers = less parallelism
iter017	iter017_stmatrix_nocommit	680.01	DISCARD	compute_bound	stmatrix slightly slower than default store
iter018	iter018_hoistofs_nocommit	671.13	DISCARD	compute_bound	hoist-offset slower than default
iter020	iter020_ws1p4c_s2_nocommit	733.99	KEEP	compute_bound	1p4c with 2 stages - NEW BEST!
iter021	iter021_ws1p4c_s3_nocommit	765.81	KEEP	compute_bound	1p4c with 3 stages - NEW BEST!
iter022	iter022_ws1p5c_s2_nocommit	0	DISCARD	error	1p5c failed - 6 warp groups exceeds CUDA limit
iter023	iter023_ws1p4c_s3_stmatrix	743.44	DISCARD	compute_bound	stmatrix hurts 1p4c performance
iter024	iter024_ws1p4c_s4_nocommit	0	DISCARD	error	4 stages with 1p4c exceeds SMEM (262144 > 233472)
