iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	431.3489	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_draft	255.305	KEEP	compute_bound	Adapted proven 64x128 1p1c wide-N starting kernel to the 2048x16384x2048 target;
iter002	iter002_ws1p2c_tm128	221.098	DISCARD	compute_bound	Tried a structural ws1p2c 128x128 tile to raise WGMMA issue on the compute-bound
iter003	iter003_wn160	175.719	DISCARD	compute_bound	Increased WARP_N from 128 to 160 on the 1p1c base to raise WGMMA work per produc
iter004	iter004_stmatrix	0	COMPILE_FAIL	compute_bound	Tried the stmatrix compiler flag on the 1p1c fp32-accumulator base after SASS co
iter005	iter005_persistent_1p1c	115.792	DISCARD	compute_bound	Persistent 1p1c scheduling preserved the 64x128 microkernel but cut throughput t
iter006	iter006_launchbounds	261.055	KEEP	compute_bound	Adding __launch_bounds__(256, 2) to the proven 1p1c CUDA raised throughput to 26
iter007	iter007_fastmath	260.805	DISCARD	compute_bound	Adding nvcc --use_fast_math on top of the launch_bounds(256,2) best held perform
iter008	iter008_unroll	260.853	DISCARD	compute_bound	Explicitly unrolling the fixed 4-step WGMMA loop on top of launch_bounds(256,2) 
iter009	iter009_arrive_once	262.241	KEEP	compute_bound	Moving warpgroup_arrive out of the 4-step WGMMA micro-loop raised throughput to 
iter010	iter010_arrive_unroll	262.212	DISCARD	compute_bound	Adding explicit unroll on top of the iter009 arrive_once synchronization cleanup
iter011	iter011_arrive_fastmath	262.281	KEEP	compute_bound	Adding nvcc --use_fast_math on top of the iter009 arrive_once synchronization cl
iter012	iter012_blockswizzle	232.022	DISCARD	compute_bound	Remapping CTAs through a 4-way block swizzle on top of iter011 collapsed through
iter013	iter013_l2promo	263.300	KEEP	compute_bound	Promoting the two input TMA tensor maps to L2_256B on top of iter011 raised thro
iter014	iter014_lb3	0.0	COMPILE_FAIL	compute_bound	Forcing launch_bounds(256,3) on top of iter013 could not compile because ptxas h
iter015	iter015_rreg120	263.127	DISCARD	compute_bound	Capping ptxas at 120 registers on top of iter013 did not change the compiled ker
iter016	iter016_hoist	263.004	DISCARD	compute_bound	Adding Choreo hoist-offset and hoist-scale on top of iter013 preserved correctne
iter017	iter017_ptxbar	263.270	DISCARD	compute_bound	Switching the iter013 base onto Choreo ptx-barrier preserved correctness and nea
iter018	iter018_wait1	264.555	KEEP	compute_bound	Moving WGMMA completion waiting to warpgroup_wait<1>() inside the K-loop and flu
iter018	iter018_wait1	264.555	KEEP	compute_bound	Moving WGMMA completion waiting to warpgroup_wait<1>() inside the K-loop and flu
iter019	iter019_splitarrive	264.512	DISCARD	compute_bound	Keeping iter018s wait1 overlap but moving empty[stage].arrive() ahead of warpgro
iter020	iter020_wait1_ptxbar	264.98	KEEP	compute_bound	Regenerating the iter018 wait1-overlap base with Choreo ptx-barrier and then res
iter021	iter021_split_epilogue	265.073	KEEP	compute_bound	Keeping the iter020 wait1+ptxbar pipeline intact but splitting the 64x128 epilog
iter022	iter022_dual_tma_epilogue	264.012	DISCARD	compute_bound	Keeping iter021 wait1+ptxbar intact but replacing the shared 64x128 output tile 
