iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	409.8731	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_draft	181.49	KEEP	memory_bound	Starting persistent 1p2c FP16->FP32 kernel adapted to K=16416; established first
iter002	iter002_wn256_1p1c_s3	208.987	KEEP	memory_bound	Switch 1p2c→1p1c WN=256 STAGES=2 TILE_M=64: reduces SMEM from 196KB to 144KB, fe
iter003	iter003_wn256_s3_nonpersis	265.656	KEEP	launch_bound	Switch persistent 114-CTA → non-persistent 16705-CTA (TILE_M=64, WN=256, STAGES=
iter004	iter004_wn256_s4_nonpersis	262.769	DISCARD	memory_bound	STAGES=4 with WN=256 (224KB SMEM): slightly worse than STAGES=3 (184KB SMEM) — e
iter005	iter005_early_empty_arrive	276.88	KEEP	memory_bound	Phase 2: move empty[stage].arrive() before warpgroup_commit_batch (early arrive)
iter006	iter006_wgmma_wait1_pipeline	275.366	DISCARD	memory_bound	warpgroup_wait<1> with extra final wait<0>: slight regression 277T→275T, extra d
iter007	iter007_p1c2_so_wn128_s3	185.627	DISCARD	memory_bound	STRUCTURAL 1p2c split-out WN=128: 3 warpgroups (384 threads) slower than 1p1c WN
iter008	iter008_tk128_s2	265.27	DISCARD	compute_bound	TILE_K=128 via 2 TMA loads/barrier with STAGES=2: doubles WGMMA per sync but 2x 
iter009	iter009_single_wgarrive	275.718	DISCARD	compute_bound	Move warpgroup_arrive() before inner loop (1 call vs 4): compiler likely already
iter010	iter010_tk32_s5	230.691	DISCARD	compute_bound	TILE_K=32 STAGES=5 with B64 swizzle: B64 vs B128 swizzle causes WGMMA inefficien
iter011	iter011_asym_barrier	272.315	DISCARD	latency_bound	Asymmetric full barrier init(1): consumer PTX poll via mbarrier.test_wait.parity
iter012	iter012_persistent_astat	98.35	DISCARD	compute_bound	Persistent 114-CTA A-stationary kernel with atomic tile counter: per-tile barrie
