iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	914.2985	KEEP	baseline	cuBLAS/scaled_mm FP8 reference baseline
iter001	iter001_warpspec_1p1c	328.511	KEEP	memory_bound	Warp-specialized 1p1c blockscale GEMM adapted from prior 16K tuning session
iter002	iter002_launch_bounds	435.097	KEEP	launch_bound	Add launch_bounds(256,2) to force 2 blocks/SM, reduce register pressure from 153
iter003	iter003_swiz_group4	420.053	DISCARD	memory_bound	Block ID swizzle with group_size=4 for L2 cache reuse
iter004	iter004_stages3	418.373	DISCARD	memory_bound	Increase pipeline stages from 2 to 3
iter005	iter005_wn192	0	DISCARD	memory_bound	WARP_N=192 causes bounds error - 8192 not divisible by 192
iter006	iter006_wn256	418.823	DISCARD	memory_bound	WARP_N=256 needs more registers, only 1 block/SM
iter007	iter007_warpspec_1p2c	442.16	KEEP	compute_bound	1p2c warp specialization: 1 producer + 2 consumer warpgroups, each consumer hand
iter008	iter008_stages3	513.95	KEEP	memory_bound	1p2c warp spec + 3-stage pipeline: increased pipeline depth from 2 to 3 to hide 
iter009	iter009_tile256	193.55	DISCARD	memory_bound	Increased TILE_N/WARP_N to 256 - caused wgmma serialization due to divergent pat
iter010	iter010_stages4	537.57	KEEP	memory_bound	1p2c warp spec + 4-stage pipeline: deeper pipelining to further hide memory late
iter011	iter011_stages5	523.50	DISCARD	memory_bound	5-stage pipeline - too many stages may increase register pressure
iter012	iter012_swizzle	546.23	KEEP	memory_bound	Block ID swizzling (group=4) with 1p2c 4-stage pipeline: improves L2 cache local
iter013	iter013_swiz3stg	157.81	DISCARD	compute_bound	3-stage with swizzle - severe regression, possibly resource conflict
iter014	iter014_swizgrp8	573.57	KEEP	compute_bound	Swizzle group 8 with 1p2c 4-stage: larger group improves L2 data reuse across CT
iter015	iter015_swizgrp16	580.02	KEEP	compute_bound	Swizzle group 16: larger group continues L2 improvement trend
iter016	iter016_swizgrp32	576.92	DISCARD	compute_bound	Swizzle group 32 - slightly worse than group 16, sweet spot exceeded
iter017	iter017_regbound	0	COMPILE_FAIL	compute_bound	launch_bounds(384,2) - compiler cannot fit kernel in 80 registers
