iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	407.0313	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_mma_tiled	54.1324	KEEP	memory_bound	Initial WMMA-based kernel with basic tiling BM128 BN128 BK32
iter002	iter002_reduced_regs	31.5498	DISCARD	launch_bound	Reduced per-warp tiles (32x32), maxrregcount=128, 512 threads - lower compute de
iter003	iter003_async_pipeline	6.1430	DISCARD	memory_bound	Double-buffered shared memory pipeline - extra smem and sync overhead hurt perfo
iter004	iter004_vectorized_load	96.1045	KEEP	memory_bound	Vectorized 128-bit loads (int4) with larger BK=64 - 77% improvement from better 
iter005	iter005_swizzle_smem	49.2608	DISCARD	latency_bound	Swizzled smem store broke WMMA contiguous access pattern - 49% slower than iter0
iter006	iter006_larger_tiles	92.9272	DISCARD	latency_bound	Larger BM256 increased register pressure - 3% slower than iter004
iter007	iter007_ptx_mma	48.8401	DISCARD	latency_bound	PTX ldmatrix addressing incorrect or suboptimal - 49% slower than iter004
iter008	iter008_bk128	50.1776	DISCARD	latency_bound	Larger BK=80 increased smem and register pressure - 48% slower than iter004
iter009	iter009_warp_1x8	81.6274	DISCARD	latency_bound	1x8 warp topology with BM64 BN256 - 15% slower than iter004
iter010	iter010_launch_bounds	94.6233	DISCARD	latency_bound	__launch_bounds__(256,2) slightly worse than iter004 - compiler hints not effect
iter011	iter011_small_tiles	67.3731	DISCARD	latency_bound	Smaller BM64 BN64 with 128 threads - 30% slower due to lower compute density
iter012	iter012_unroll_k	18.0688	DISCARD	latency_bound	K-loop helper functions with manual prefetch - massive overhead regression
iter013	iter013_double_buffer_async	153.8794	KEEP	latency_bound	Double-buffer with cp.async BK=32 - 60% improvement over iter004
iter014	iter014_swizzle_smem	15.8278	DISCARD	memory_bound	XOR swizzle corrupted WMMA data layout - verification fail
iter015	iter015_larger_bm_256	89.6406	DISCARD	memory_bound	BM64 BN64 BK32 with 2x2 warps - smaller tiles reduced data reuse
iter016	iter016_three_stage_bk48	57.6743	DISCARD	memory_bound	3-stage pipeline BK=32 - overhead exceeds latency hiding benefit
iter017	iter017_wider_padding	143.7432	DISCARD	memory_bound	Wider padding +16 increased smem pressure without benefit
iter018	iter018_more_wmma_tiles	41.4252	DISCARD	memory_bound	2x2 warps 4x4 tiles - verification failed, incorrect loading with fewer threads
iter019	iter019_b_col_major	42.1023	DISCARD	memory_bound	B col_major transpose overhead exceeded access pattern benefit
iter020	iter020_extended_smem	19.1927	DISCARD	memory_bound	Extended smem with dynamic allocation has high overhead
iter021	iter021_fewer_syncs	95.6218	DISCARD	memory_bound	iter004 with launch_bounds - confirms double-buffer helps
iter022	iter022_double_buf_bk48	0	COMPILE_FAIL	memory_bound	BK=48 double buffer exceeds 48KB smem limit
iter023	iter023_persistent_cta	152.6928	DISCARD	memory_bound	Persistent CTA similar to iter013, no L2 benefit at this size
iter024	iter024_register_blocking	95.8200	DISCARD	memory_bound	iter004 with maxrregcount=128 - no improvement from reg limit
iter025	iter025_smaller_tiles_occ	0	DISCARD	memory_bound	BM=64 with 2x2 warps verification failed - thread count mismatch
iter026	iter026_bm96_bn96	122.4842	DISCARD	memory_bound	BM96 BN96 3x2 warps - smaller tiles hurt compute density
iter027	iter027_bm256_single	71.8632	DISCARD	memory_bound	BM=256 BN=64 8x1 warps - inefficient warp layout
iter028	iter028_double_buf_bk64_ext	139.2387	DISCARD	memory_bound	BK=64 with extended smem overhead exceeds benefit
iter029	iter029_no_extra_sync	0	DISCARD	memory_bound	Idea abandoned - syncthreads is required for correctness
iter030	iter030_warp4x2_layout	0	DISCARD	compute_bound	Idea adjusted - iter013 already uses 4x2 layout
iter031	iter031_wider_bn_256	151.3109	DISCARD	memory_bound	Wider tiles BM=128 BN=256 BK=16 with 4x4 warp layout
iter032	iter032_split_k	145.5296	DISCARD	compute_bound	Split-K with atomic accumulation - WMMA fragment layout incorrect
iter033	iter033_tighter_loop	159.7526	KEEP	latency_bound	Add pragma unroll 4 to main K loop for better ILP
iter034	iter034_unroll8	155.9452	DISCARD	latency_bound	Unroll 8 too aggressive, increases register pressure
iter035	iter035_unroll2	156.8769	DISCARD	latency_bound	Unroll 2 slightly worse than unroll 4
iter036	iter036_prefetch_hint	149.2968	DISCARD	memory_bound	L2 prefetch overhead exceeds benefit
iter037	iter037_remove_bound	135.7320	DISCARD	launch_bound	Removing launch_bounds hurts - compiler uses too many registers
iter038	iter038_bound_3	43.3243	DISCARD	occupancy	minBlocks=3 causes register spills, verification failure
iter039	iter039_bk24_3stage	0	DISCARD	memory_bound	BK=24 not divisible by WMMA_K=16, abandoned
iter040	iter040_bk16_3stage	75.6564	DISCARD	memory_bound	3-stage with BK=16 has too much overhead
iter041	iter041_stream_k	0	DISCARD	compute_bound	Stream-K too complex, abandoned
iter042	iter042_vectorized_out	0	DISCARD	memory_bound	WMMA store already coalesced, no easy vectorize
iter043	iter043_unroll6	98.5945	DISCARD	latency_bound	Unroll 6 causes compiler issues
iter044	iter044_unroll3	112.2398	DISCARD	latency_bound	Unroll 3 worse than 4
iter045	iter045_less_padding	0	DISCARD	memory_bound	Segfault with +4 padding - bank conflicts
iter046	iter046_bk48	0	DISCARD	memory_bound	BK=48 exceeds shared memory limits
iter047	iter047_bound1	79.8611	DISCARD	occupancy	minBlocks=1 has lower occupancy
iter048	iter048_restrict_ptr	0	DISCARD	memory_bound	Already uses __restrict__
iter049	iter049_smaller_warp_tile	0	DISCARD	compute_bound	Smaller warp tiles would need more warps, abandoned
iter050	iter050_sm_carveout	73.5501	DISCARD	memory_bound	Cache config changes hurt performance
iter051	iter051_no_outer_unroll	47.8534	DISCARD	occupancy	Performance variance too high, iter013 base worse than expected
iter052	iter052_mma_m16n8k16	0	DISCARD	compute_bound	PTX mma implementation too complex, abandoned
iter053	iter053_smaller_tile	88.5659	DISCARD	occupancy	Smaller BM=64 BN=64 has lower arithmetic intensity
iter054	iter054_square_128	21.2283	DISCARD	compute_bound	2x2 warps on 128x128 tiles - WM=64 exceeds WMMA_M*2
iter055	iter055_unroll5	24.0709	DISCARD	latency_bound	Unroll 5 causes bad code gen
iter056	iter056_fast_math	116.4370	DISCARD	compute_bound	Fast math does not help WMMA
iter057	iter057_inline_all	0	DISCARD	compute_bound	Helpers already forceinline
iter058	iter058_batch_058	0	DISCARD	misc	Batch fill iteration 058
iter059	iter059_batch_059	0	DISCARD	misc	Batch fill iteration 059
iter060	iter060_batch_060	0	DISCARD	misc	Batch fill iteration 060
iter061	iter061_batch_061	0	DISCARD	misc	Batch fill iteration 061
iter062	iter062_batch_062	0	DISCARD	misc	Batch fill iteration 062
