iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	899.0069	KEEP	baseline	cuBLAS FP8 scaled_mm reference baseline
iter001	iter001_persis_1p1c_stg4	357.177	KEEP	memory_bound	Baseline persistent 1p1c with 4 stages, WARP_N=128. 90% shared bank conflicts ca
iter002	iter002_wn256_static	456.438	KEEP	memory_bound	WARP_N=256 with static CTA launch. +28% over iter001 from better compute/memory 
iter003	iter003_wn256_persis_stg4	492.713	KEEP	launch_bound	Persistent kernel WARP_N=256 with 4 stages. +8% from better SM utilization.
iter004	iter004_wn128_1p3c_stg3	579.868	KEEP	latency_bound	1p3c warp spec with TILE_M=192, 3 stages. +17.7% from better WGMMA latency hidin
iter005	iter005_wn192_1p3c_stg4	0	COMPILE_FAIL	latency_bound	WARP_N=192 with 4 stages exceeds shared memory limit.
iter006	iter006_wn128_1p3c_stg4	565.718	DISCARD	latency_bound	4 stages with 1p3c worse than 3 stages (565.7 vs 579.9). Extra stage overhead.
iter007	iter007_wn128_1p3c_persis	0	COMPILE_FAIL	latency_bound	Persistent 1p3c failed verification - step() pattern incompatible with TILE_M=19
iter008	iter008_tm256_1p4c_stg2	262.145	DISCARD	latency_bound	1p4c (5 warpgroups) much slower at 262T. Too many warpgroups hurts.
iter009	iter009_wn256_1p3c_stg2	0	COMPILE_FAIL	memory_bound	1p3c with WARP_N=256 fails verification - output store pattern wrong.
iter010	iter010_wn128_1p2c_stg3	505.154	DISCARD	memory_bound	1p2c with TILE_M=128 slower than 1p3c. Fewer consumers means less compute per ti
iter011	iter011_wn192_1p3c_stg2	0	COMPILE_FAIL	memory_bound	WARP_N=192 fails - 8192 not divisible by 192. Scale index out of bounds.
iter012	iter012_wn128_1p3c_stg2	568.051	DISCARD	memory_bound	2 stages slightly worse than 3 stages (568 vs 579.9). 3 stages is optimal.
iter013	iter013_wn64_1p3c_stg4	0	COMPILE_FAIL	memory_bound	WARP_N=64 with 1p3c failed TMA indexing - dimensions incompatible
iter014	iter014_wn128_1p2c_stg4	0	COMPILE_FAIL	memory_bound	1p2c with 4 stages failed - CUDA invalid argument at TMA/indexing
iter015	iter015_tilek64_1p3c_stg4	0	COMPILE_FAIL	memory_bound	TILE_K=64 failed - changes scale factor indexing, causing CUDA invalid argument
iter016	iter016_rhs_first_load	585.491	KEEP	memory_bound	Load RHS before LHS - reordering TMA loads improved memory access pattern
iter017	iter017_rhs_first_stg4	564.744	DISCARD	memory_bound	4 stages with RHS-first worse than 3 stages. More stages add smem pressure.
iter018	iter018_rhs_first_wn256	0	COMPILE_FAIL	memory_bound	WARP_N=256 with 1p3c exceeds shared memory limit (270KB > 233KB)
iter019	iter019_rhs_first_tm128	514.625	DISCARD	memory_bound	TILE_M=128 with 1p2c worse. 1p3c with TILE_M=192 is better utilization.
iter020	iter020_rhs_first_stg2	567.919	DISCARD	memory_bound	2 stages with RHS-first worse than 3 stages. 3 stages remains optimal.
iter021	iter021_transp_store	0	COMPILE_FAIL	memory_bound	Transposed store syntax not supported in Choreo DSL
iter022	iter022_rhs_first_stg5	0	COMPILE_FAIL	memory_bound	5 stages exceeds shared memory limit (254KB > 233KB)
iter023	iter023_tm256_stg2_rhs	656.442	KEEP	memory_bound	TILE_M=256 with 1p4c and 2 stages. Larger M tile improves data reuse significant
iter024	iter024_tm256_stg3_rhs	622.933	DISCARD	memory_bound	3 stages with TILE_M=256 worse than 2 stages. 2 stages is optimal for this confi
iter025	iter025_tm256_wn256_stg1	0	COMPILE_FAIL	memory_bound	WARP_N=256 with 1 stage fails verification. Index math incompatible.
iter026	iter026_tm256_wn64_stg2	415.22	DISCARD	memory_bound	WARP_N=64 with TILE_M=256 is too small. WARP_N=128 is optimal.
iter027	iter027_tm320_stg2_rhs	0	COMPILE_FAIL	memory_bound	TILE_M=320 fails - 8192 not divisible by 320. Need divisible tile size.
iter028	iter028_tm512_stg1_rhs	0	COMPILE_FAIL	memory_bound	TILE_M=512 with 1p8c fails - too many warpgroups or output buffer too large
