iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	465.1611	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_tm128_wn128_s4	214.964	KEEP	mixed	Discovery seed from prior strong SM90 matmul (tm128/wn128/s4) adapted to 16384x5
iter002	iter002_warpn256_s2	210.405	DISCARD	memory_bound	Raised WARP_N to 256 and reduced STAGES to 2 to improve skinny-N bandwidth/occup
iter003	iter003_regcap128	204.894	DISCARD	memory_bound	Applied -maxrregcount=128 to reduce register pressure and improve occupancy, but
iter004	iter004_stage3	209.506	DISCARD	memory_bound	Reduced pipeline stages 4->3 to lower shared-memory/sync overhead on the iter001
iter005	iter005_tilem256	209.694	DISCARD	memory_bound	Increased MATMUL_TILE_M from 128 to 256 to raise M-dimension reuse and amortize 
iter006	iter006_warpn64	210.442	DISCARD	memory_bound	Reduced MATMUL_WARP_N from 128 to 64 to cut register/synchronization pressure pe
iter007	iter007_dlcmca	210.151	DISCARD	memory_bound	Enabled ptxas cache-all load policy (-dlcm=ca) to improve cache reuse on global 
iter008	iter008_regcap136	209.952	DISCARD	memory_bound	Applied -maxrregcount=136 as a softer occupancy push than 128, but performance s
iter009	iter009_tilek32_swiz64	210.081	DISCARD	memory_bound	Reduced TILE_K to 32 with SWIZ 64 to shrink stage footprint and shared-memory pr
iter010	iter010_fastmath	209.772	DISCARD	memory_bound	Enabled --use_fast_math to reduce scalar overhead around tensor-core work, but m
iter011	iter011_regcap152	210.605	DISCARD	memory_bound	Applied a light -maxrregcount=152 cap to ease register pressure with minimal spi
iter012	iter012_warpn96	203.693	DISCARD	memory_bound	Tested intermediate WARP_N=96 to balance reuse and pressure between 128 and 64, 
iter013	iter013_warpn160	204.442	DISCARD	memory_bound	Tried a wider WARP_N=160 tile for stronger RHS reuse and fewer N tiles, but this
iter014	iter014_persis_1p1c_wn96_s3	127.479	DISCARD	memory_bound	Persistent 1p1c warpspec TILE_M=64 WARP_N=96 STAGES=3: matched cuBLAS 96-wide N 
iter015	iter015_dma_wn64_s2	103.113	DISCARD	memory_bound	WARP_N=64 STAGES=2 to cut SMEM 192KB->82KB for 2 CTAs/SM but halving pipeline de
iter016	iter016_stmatrix_hoist	210.323	DISCARD	memory_bound	Choreo --hoist-offset flag on iter001 base: stmatrix incompatible with f32 accum
iter017	iter017_wn96_s2_2cta	127.259	DISCARD	memory_bound	1p2c WARP_N=96 STAGES=2 targeting 2 CTAs/SM: 104KB SMEM fits threshold but 2-sta
iter018	iter018_direct_store	204.202	DISCARD	memory_bound	Direct global store from WGMMA accumulators to eliminate 8.1-way bank conflicts
iter019	iter019_wn64_s4_direct_2cta	117.714	DISCARD	memory_bound	WARP_N=64 STAGES=4 direct global store targeting 2 CTAs/SM 96KB SMEM
iter020	iter020_tbc_multicast	199.589	DISCARD	wgmma_serialized	TBC CLUSTER_M 2 RHS TMA multicast to halve B bandwidth
iter021	iter021_persis_p1c1_wn96_s4	121.611	DISCARD	memory_bound	1p1c persistent TILE_M=64 WARP_N=96 STAGES=4 104KB SMEM for 2 CTAs/SM occupancy
iter022	iter022_persis_p1c1_wn64_s3	18.7245	DISCARD	memory_bound	1p1c TILE_K=32 WARP_N=64 STAGES=3 40KB SMEM for very high CTA occupancy
iter023	iter023_tm128_wn128_s4_mmajor	276.231	KEEP	memory_bound	M-major tile ordering keeps A-matrix rows hot in L2 cache across 4 N-column pass
iter024	iter024_wn64_s2_mmajor	151.362	DISCARD	latency_bound	WARP_N=64 STAGES=2 maxrregcount=80 for 2 CTAs/SM: register spilling cut WGMMA fr
iter025	iter025_tm256_wn128_s2_1p3c_mmajor	0.0	DISCARD	latency_bound	1p3c TILE_M=192 STAGES=2 M-major: TILE_M=192 does not divide M=16384, causing ou
iter026	iter026_wn256_s2_mmajor	251.752	DISCARD	latency_bound	WARP_N=256 STAGES=2 M-major: 2-stage pipeline not enough to hide 256K-loop laten
iter027	iter027_tm128_wn128_s3_mmajor	262.776	DISCARD	latency_bound	STAGES=3 M-major: fewer pipeline stages reduce latency hiding vs STAGES=4, K=256
iter030	iter030_choreo_flags_stmatrix_ptxbar	278.508	KEEP	compute_bound	Add --hoist-offset --hoist-scale --ptx-barrier Choreo flags to iter023; ptx-barr
iter031	iter031_s3_ptxbar_hoist	268.368	DISCARD	compute_bound	STAGES=3 with ptx-barrier hoist flags; fewer prologue barriers but insufficient 
iter032	iter032_tma_cluster_aware	278.418	DISCARD	compute_bound	--tma-cluster-aware flag added to iter030; negligible benefit for single-CTA ker
iter033	iter033_wgmma_arrive_once	288.207	KEEP	compute_bound	Phase2 CU fix: move warpgroup_arrive() before inner iv_warp loop (once per K-til
iter034	iter034_wgmma_wait1_overlap	340.8	KEEP	compute_bound	Phase2: warpgroup_wait<1>() inside K-loop + warpgroup_wait<0>() after loop; over
iter035	iter035_wgmma_wait2_overlap	340.606	DISCARD	compute_bound	warpgroup_wait<2>() inside K-loop; no improvement over wait<1> - WGMMA-TMA overl
iter036	iter036_wn256_s2_wait1	330.501	DISCARD	compute_bound	WARP_N=256 STAGES=2 with wgmma_arrive_once+wait<1>; STAGES=2 insufficient pipeli
iter037	iter037_s5_wait1	313.681	DISCARD	compute_bound	STAGES=5 with wgmma_arrive_once+wait<1>; more stages but worse than STAGES=4 - p
iter038	iter038_kunroll4_wait1	354.7	KEEP	compute_bound	Phase2: #pragma unroll 4 on consumer K-loop; reduces branch overhead and exposes
iter044	iter044_wait2_cu128	408.745	DISCARD	compute_bound	warpgroup_wait<2> + unroll128: deeper WGMMA pipelining - no gain over iter042 at
iter045	iter045_swizzle_tile_order	212.685	DISCARD	compute_bound	Swizzled tile ordering (block processes consecutive tiles) - WORSE due to DRAM a
iter046	iter046_wn96_stages4	208.5	DISCARD	tile_boundary_waste: N=512 not divisible by WARP_N=96, 6th partial tile (only 32/96 valid columns) causes severe load imbalance and TMA waste	SASS reverse-engineering: cuBLAS uses WARP_N=96 (HGMMA.64x96x16) to save 16 accu
iter047	iter047_spinwait_no_nanosleep	238.8	DISCARD	barrier_parity_bug: raw mbarrier parity tracking wrong; producer never stalls; pipeline desync	Replace cuda::barrier wait() with raw PTX mbarrier spin-wait to eliminate NANOSL
iter051	iter051_l2_persist_rhs	408.8	KEEP	A-matrix bandwidth limit and cuBLAS CGA-multicast architecture gap	L2 persist for B matrix: no gain. TBC multicast: 200T. Compilation key: direct n
iter052	iter052_split_arrive_wait	409.2	KEEP	Late empty.arrive() was delaying producer TMA start	Early empty.arrive before warpgroup_wait<1> for earlier producer unblocking, +0.
iter053	iter053_all_discard	409.2	DISCARD	All micro-opts hurt or neutral vs iter052 - stages3 199T mio starves, unroll256 388T icache, cta128 258T extra overhead, prearrive broke unroll	Exhausted local micro-opts: best remains iter052 409.2T. Need deeper architectur
iter042	iter042_cu128_pu32_regs224	468.385	TESTED	compute_bound	Re-run to collect missing results
